pdms,,pdms-0,,pdms-90,,30-10,,30-10-0,,30-10-90,,30-10-90-2,,30-10-0-2,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1100,0.004078162834,1100,0.2507147789,1100,0.5219096541,1100,0.03576099873,1100,0.2770447433,1100,0.5550553203,1100,0.5526062846,1100,0.2768684924,
1099,-0.01040780544,1099,0.2369510531,1099,0.5059742928,1099,0.0239867121,1099,0.2655705214,1099,0.5401948094,1099,0.5364795923,1099,0.2626186013,
1098,0.0007911482244,1098,0.248841241,1098,0.5159987807,1098,0.0323016569,1098,0.2752672434,1098,0.5493344069,1098,0.5476977825,1098,0.2757619023,
1097,-0.006807443686,1097,0.2424496561,1097,0.5072402358,1097,0.02788704261,1097,0.271176815,1097,0.5417888165,1097,0.5373694897,1097,0.2677233517,
1096,-0.003021591343,1096,0.2467060983,1096,0.5094590187,1096,0.0289540384,1096,0.2735649645,1096,0.5429873466,1096,0.5414472818,1096,0.2742179632,
1095,-0.002311408985,1095,0.2488360554,1095,0.5089195371,1095,0.03221394122,1095,0.2774569392,1095,0.5435205698,1095,0.5388764143,1095,0.2740633488,
1094,-0.007789480966,1094,0.2434750348,1094,0.5014664531,1094,0.02487287857,1094,0.2711704373,1094,0.5352928042,1094,0.5338466763,1094,0.2713080645,
1093,0.001159114181,1093,0.2543658912,1093,0.5091279745,1093,0.03540681675,1093,0.2824388444,1093,0.5437415242,1093,0.5394968987,1093,0.279761821,
1092,-0.01139127556,1092,0.2418726981,1092,0.4938768744,1092,0.02225517482,1092,0.270249337,1092,0.5282248259,1092,0.5263236165,1092,0.2696399987,
1091,0.004655946046,1091,0.2599306107,1091,0.5086238384,1091,0.0378315337,1091,0.2874792218,1091,0.5430380106,1091,0.5395448208,1091,0.2860230505,
1090,-0.01277131122,1090,0.2432152331,1090,0.4883369505,1090,0.02182172611,1090,0.272139281,1090,0.523077786,1090,0.5205593109,1090,0.2705844641,
1089,0.003964615986,1089,0.261826545,1089,0.5035195351,1089,0.03677363321,1089,0.2889838517,1089,0.5378324986,1089,0.5354540944,1089,0.2887325585,
1088,-0.01080592535,1088,0.2474545091,1088,0.4875885844,1088,0.02467997,1088,0.2770970166,1088,0.5228818655,1088,0.5194212794,1088,0.2741221786,
1087,0.0009716805653,1087,0.2597624063,1087,0.4990094304,1087,0.03371570259,1087,0.2871086001,1087,0.5333443284,1087,0.531632483,1087,0.2873098254,
1086,-0.006178262178,1086,0.2533738911,1086,0.4913640022,1086,0.02945582941,1086,0.2829759121,1086,0.5269139409,1086,0.5224673152,1086,0.2794929445,
1085,-0.004659088794,1085,0.2547735572,1085,0.4917954504,1085,0.02852137387,1085,0.2825391591,1085,0.5263777971,1085,0.5249369144,1085,0.2830734253,
1084,-0.0008269936079,1084,0.2596651316,1084,0.495057255,1084,0.03452007473,1084,0.2890945375,1084,0.5307107568,1084,0.5262212157,1084,0.2856938243,
1083,-0.009929124266,1083,0.2501727045,1083,0.484436959,1083,0.02428611554,1083,0.2789282799,1083,0.5195102692,1083,0.5180225968,1083,0.2787812352,
1082,0.003518162295,1082,0.2650311291,1082,0.4976775944,1082,0.03808683157,1082,0.293625772,1082,0.5332381129,1082,0.5294517875,1082,0.2915700078,
1081,-0.0127080651,1081,0.2486081272,1081,0.4803467393,1081,0.02264661901,1081,0.2781595588,1081,0.5159961581,1081,0.5137889981,1081,0.2768149376,
1080,0.004039491992,1080,0.2664735615,1080,0.4970996082,1080,0.037909206,1080,0.2946276069,1080,0.5323929191,1080,0.5298131704,1080,0.2938987315,
1079,-0.01151239593,1079,0.2509743869,1079,0.480499506,1079,0.02471153624,1079,0.2813029587,1079,0.516759038,1079,0.5132433772,1079,0.2785637379,
1078,0.0004448451509,1078,0.2635220289,1078,0.4919812977,1078,0.03432109579,1078,0.2917416692,1078,0.5273179412,1078,0.5254269242,1078,0.2920268476,
1077,-0.00630120188,1077,0.2574602067,1077,0.4843145609,1077,0.03028750792,1077,0.2879276574,1077,0.5208302736,1077,0.5165318251,1077,0.2844064534,
1076,-0.005318397656,1076,0.2583141923,1076,0.4840888083,1076,0.02898699418,1076,0.2870560884,1076,0.5197198987,1076,0.5185658932,1076,0.2875999808,
1075,5.275880903E-005,1075,0.2650178671,1075,0.4892581999,1075,0.03624052927,1075,0.2949628532,1075,0.525942266,1075,0.5216831565,1075,0.2919870615,
1074,-0.01093568932,1074,0.253685534,1074,0.4771306515,1074,0.02440140583,1074,0.2833056748,1074,0.5132520795,1074,0.5117512941,1074,0.2830801308,
1073,0.003817487974,1073,0.2698751986,1073,0.4920229316,1073,0.03918672353,1073,0.2992406785,1073,0.5285131931,1073,0.5250191689,1073,0.297416389,
1072,-0.01288621686,1072,0.2528633475,1072,0.4739996493,1072,0.02384861372,1072,0.2837575376,1072,0.5108709931,1072,0.5080077052,1072,0.2815846801,
1071,0.002956172219,1071,0.2696448267,1071,0.489472121,1071,0.03776562214,1071,0.2985115051,1071,0.5257760286,1071,0.5234069228,1071,0.2982378304,
1070,-0.009360038675,1070,0.2576767206,1070,0.4758615494,1070,0.02813882567,1070,0.2888342738,1070,0.5133085251,1070,0.509465754,1070,0.2857066095,
1069,-0.003169224365,1069,0.2642011642,1069,0.4814442396,1069,0.03183976933,1069,0.2933336198,1069,0.5179026127,1069,0.516741395,1069,0.2940036654,
1068,-0.002973928815,1068,0.2654061317,1068,0.4815093279,1068,0.03449591622,1068,0.2965538502,1068,0.5191219449,1068,0.5147356987,1068,0.2930788398,
1067,-0.01022787485,1067,0.2578618228,1067,0.4730784297,1067,0.02580145933,1067,0.2882478237,1067,0.5101724863,1067,0.5086468458,1067,0.2879942358,
1066,0.003063407494,1066,0.2724374831,1066,0.4860278964,1066,0.03946867213,1066,0.3026494682,1066,0.5236394405,1066,0.5197992325,1066,0.3005462885,
1065,-0.01298395917,1065,0.2561046183,1065,0.4685893655,1065,0.02434675582,1065,0.2873104513,1065,0.5062707663,1065,0.5038163662,1065,0.2858971357,
1064,0.002766111866,1064,0.2729144692,1064,0.4841396511,1064,0.038521979,1064,0.3025614023,1064,0.5213488936,1064,0.5192118287,1064,0.3024057448,
1063,-0.009839094244,1063,0.2606803477,1063,0.4708270729,1063,0.02857901342,1063,0.2926818728,1063,0.5092284679,1063,0.5054516792,1063,0.2894786298,
1062,-0.003131652484,1062,0.2677460313,1062,0.4769180119,1062,0.03276425973,1062,0.2977959216,1062,0.5144563317,1062,0.5130702853,1062,0.2981784642,
1061,-0.001634002663,1061,0.2701852024,1061,0.4776931107,1061,0.03651276976,1061,0.3019425869,1061,0.5163412094,1061,0.5119614005,1061,0.2986170352,
