PDMS,,PDMS-90,,PDMS-0,,K1S-spin,,K1S-spin-90,,K1S-spin-0,,K1S-ff-3mms,,K1S-ff-3mms-90,,K1S-ff-3mms-0,,K1S-lf-3mms,,K1S-lf-3mms-90,,K1S-lf-3mms-0,,K1S-lf-3mms-2,,K1S-lf-3mms-2-90,,K1S-lf-3mms-2-0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
1100,0.5253762603,1100,1.220552683,1100,0.7611372471,1100,0.4705145955,1100,1.134548783,1100,0.7810814381,1100,0.8165712953,1100,1.479390383,1100,1.008006454,1100,0.548178792,1100,1.171767831,1100,0.7936185002,1100,0.6813183427,1100,1.320673823,1100,0.8993149996,
1099,0.5257396698,1099,1.219046474,1099,0.7622178197,1099,0.4705888331,1099,1.133111954,1099,0.7819665074,1099,0.8168803453,1099,1.477909923,1099,1.009334207,1099,0.5483554006,1099,1.17036283,1099,0.7946008444,1099,0.6814920902,1099,1.319369555,1099,0.9004482031,
1098,0.5260332227,1098,1.217952013,1098,0.7632516623,1098,0.4705546498,1098,1.131856799,1098,0.7828782797,1098,0.8164840341,1098,1.476565242,1098,1.01038301,1098,0.5484958291,1098,1.168840647,1098,0.7955884933,1098,0.6816928387,1098,1.318163037,1098,0.9014589787,
1097,0.5262195468,1097,1.216798544,1097,0.7645632029,1097,0.4707763791,1097,1.130102158,1097,0.7838651538,1097,0.8176349401,1097,1.475040317,1097,1.011951804,1097,0.548602581,1097,1.167384028,1097,0.7967514396,1097,0.6818302274,1097,1.316747785,1097,0.9025619626,
1096,0.5264342427,1096,1.214672327,1096,0.7655765414,1096,0.4708942771,1096,1.128586888,1096,0.7859746218,1096,0.817464292,1096,1.473335743,1096,1.012594581,1096,0.5486230254,1096,1.166105509,1096,0.7979701161,1096,0.6822942495,1096,1.315608144,1096,0.9038610458,
1095,0.5266997814,1095,1.21346128,1095,0.7669074535,1095,0.4712980688,1095,1.127262592,1095,0.786207974,1095,0.817327857,1095,1.471988201,1095,1.014195681,1095,0.5492119193,1095,1.164826393,1095,0.7992091775,1095,0.6827138662,1095,1.314872503,1095,0.9052082896,
1094,0.5267777443,1094,1.211330295,1094,0.7679855824,1094,0.471557945,1094,1.125436664,1094,0.7877937555,1094,0.8178700805,1094,1.47040081,1094,1.015129805,1094,0.5493590236,1094,1.163016796,1094,0.80054003,1094,0.6829078197,1094,1.312736392,1094,0.9064967036,
1093,0.5268383622,1093,1.209581137,1093,0.7692173719,1093,0.4713603854,1093,1.123708129,1093,0.7885537744,1093,0.8181515932,1093,1.468522549,1093,1.016344428,1093,0.54945153,1093,1.161144018,1093,0.8013739586,1093,0.682628274,1093,1.310889959,1093,0.9075262547,
1092,0.5269179344,1092,1.206965923,1092,0.7701587677,1092,0.4713572562,1092,1.121708035,1092,0.7897558808,1092,0.8177595139,1092,1.466307282,1092,1.017503023,1092,0.5495834947,1092,1.159452677,1092,0.8026106358,1092,0.6829094887,1092,1.309227467,1092,0.9087386727,
1091,0.526876092,1091,1.204899073,1091,0.771253407,1091,0.47112903,1091,1.119368911,1091,0.7906790376,1091,0.817370832,1091,1.463719368,1091,1.018617868,1091,0.5493887663,1091,1.156827807,1091,0.8038239479,1091,0.682943821,1091,1.306870937,1091,0.9098550081,
1090,0.5268332958,1090,1.202392817,1090,0.772988677,1090,0.471301198,1090,1.11690259,1090,0.792022109,1090,0.8181099296,1090,1.461087823,1090,1.020446897,1090,0.5495368242,1090,1.154473901,1090,0.80528754,1090,0.6828166842,1090,1.304295421,1090,0.9112178683,
1089,0.5266846418,1089,1.200072408,1089,0.7741363645,1089,0.4710986912,1089,1.114372253,1089,0.7931261063,1089,0.8179441094,1089,1.458978534,1089,1.021321654,1089,0.5495586395,1089,1.151961207,1089,0.8066002131,1089,0.682767868,1089,1.301961303,1089,0.9125549197,
